ark,title_clean,date_clean,author_name_clean,author_type_clean,author_birth_clean,author_death_clean,publisher_name_clean,publisher_place_clean,type_clean,format,description,type,source,language,title,author,date,publisher,ocr_quality,topics,metatopics,occurences,occurences_ratio,publisher_place_country
bd6t5406723f,"En zigzag, du Maroc à Malte, à travers l'Algérie, la Tunisie et les États barbaresques, souvenirs d'Afrique",1888.0,"Peigneaux, Barthélemy (Abbé)",person,,,impr. de X. Jevain,Lyon,monographie,"In-16, VII-530 p., pl.",Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-O3-702",fre,"En zigzag, du Maroc à Malte, à travers l'Algérie, la Tunisie et les États barbaresques, souvenirs d'Afrique / A. Beguin et B. Peigneaux","Peigneaux, Barthélemy (Abbé). Auteur du texte",1888,impr. de X. Jevain (Lyon),89.0,"[33, 32, 119, 0, 0, 7, 31, 25, 78, 32]","['Description', 'Médecine/Médicaments', 'Description', 'Géographie', 'Géographie', 'Eucalyptus / Propriétés Botaniques', 'Médecine/Médicaments', 'Médecine/Médicaments', 'Autres', 'Médecine/Médicaments']",10,0.0061632142394901,Sud de la France
bpt6k2097684,Formulaire de l'herboristerie,1888.0,"Maurin, Sélim-Ernest",person,1838.0,,F. Alcan,Paris,monographie,575 p. ; 16 cm,,printed monograph,Bibliothèque nationale de France,fre,Formulaire de l'herboristerie / par le Dr S.-E. Maurin,"Maurin, Sélim-Ernest (1838-19..). Auteur du texte",1888,F. Alcan (Paris),82.0,"[45, 18, 32, 37, 105, 75, 42, 99, 78, 18, 31, 4, 22, 111, 87, 19]","['Eucalyptus / Propriétés Botaniques', 'Maladies', 'Médecine/Médicaments', 'Eucalyptus / Propriétés Botaniques', 'Autres', 'Institutions / Transport', 'Médecine/Médicaments', 'Eucalyptus / Propriétés Botaniques', 'Autres', 'Maladies', 'Médecine/Médicaments', 'Erreurs', 'Propriétés Chimiques', 'Faune et Flore', 'Médecine/Médicaments', 'Médecine/Médicaments']",19,0.02027337039447,Paris / Île de France
bpt6k5426423r,En Océanie,1888.0,"Cotteau, Edmond",person,1833.0,1896.0,Hachette,Paris,monographie,"390 p. : pl., fig. et cartes ; in-16",Appartient à l’ensemble documentaire : Sinica1	Contient une table des matières	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-P2-123",fre,"En Océanie / par Edmond Cotteau,...","Cotteau, Edmond (1833-1896). Auteur du texte",1888,Hachette (Paris),97.0,"[135, 79, 0, 24, 0, 119, 120, 54, 119, 54, 7, 11, 0, 0, 119, 77, 33, 0, 11, 53, 33, 0]","['Industrie / Production', 'Géographie', 'Géographie', 'Eucalyptus / Propriétés Botaniques', 'Géographie', 'Description', 'Maladies', 'Institutions / Transport', 'Description', 'Institutions / Transport', 'Eucalyptus / Propriétés Botaniques', 'Industrie / Production', 'Géographie', 'Géographie', 'Description', 'Géographie', 'Description', 'Géographie', 'Industrie / Production', 'Géographie', 'Description', 'Géographie']",23,0.02328382988631,Paris / Île de France
bpt6k68966j,Contes de la vie intime,1888.0,"Theuriet, André",person,1833.0,1907.0,N. Martinet,Paris,monographie,1 vol. (215 p.) ; in-8,Contient une table des matières,printed monograph,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-41609",fre,Contes de la vie intime / André Theuriet,"Theuriet, André (1833-1907). Auteur du texte",1888,N. Martinet (Paris),82.0,[133],['Description'],1,0.0033387866849187,Paris / Île de France
bpt6k5568346c,Dictionnaire international des écrivains du jour. 1,1888.0,"De Gubernatis, Angelo",person,1840.0,1913.0,L. Niccolai,Florence,monographie,3 vol. (2089 p.) ; 27 cm,Avec mode texte	Dictionnaires,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z RENAN-543 (1)",fre,Dictionnaire international des écrivains du jour. 1 / A. De Gubernatis,"De Gubernatis, Angelo (1840-1913). Auteur du texte",1888-1891,L. Niccolai (Florence),93.0,"[93, 53, 2, 16]","['Eucalyptus / Propriétés Botaniques', 'Géographie', 'Eucalyptus / Propriétés Botaniques', 'Institutions / Transport']",4,0.0006027109940512,Europe
bpt6k61427403,Dictionnaire international des écrivains du jour. 3,1888.0,"De Gubernatis, Angelo",person,1840.0,1913.0,L. Niccolai,Florence,monographie,3 vol. (2089 p.) ; 27 cm,Contient une table des matières	Avec mode texte	Dictionnaires,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z RENAN-543 (3)",fre,Dictionnaire international des écrivains du jour. 3 / A. De Gubernatis,"De Gubernatis, Angelo (1840-1913). Auteur du texte",1888-1891,L. Niccolai (Florence),96.0,[93],['Eucalyptus / Propriétés Botaniques'],1,0.0001392662617732,Europe
bpt6k689118,Le torpilleur 29,1888.0,"Maël, Pierre",person,,,Librairie illustrée,Paris,monographie,1 vol. (317 p.) ; in-18,,printed monograph,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-41900",fre,Le torpilleur 29 : moeurs maritimes (7e édition) / par Pierre Maël,"Maël, Pierre. Auteur du texte",1888,Librairie illustrée (Paris),95.0,[33],['Description'],1,0.0015674718246939,Paris / Île de France
bpt6k65294375,Histoires insolites,1888.0,"Villiers de L'Isle-Adam, Auguste de",person,1838.0,1889.0,Librairie moderne,Paris,monographie,1 vol. (315 p.) ; 19 cm,[Histoires insolites (français)]	Appartient à l’ensemble documentaire : GTextes1	Contient une table des matières	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-41177",fre,Histoires insolites / Cte de Villiers de l'Isle-Adam,"Villiers de L'Isle-Adam, Auguste de (1838-1889). Auteur du texte",1888,Librairie moderne (Paris),100.0,"[97, 60]","['Autres', 'Autres']",2,0.0049147294441441,Paris / Île de France
bpt6k69071w,Scandales mondains. L'honneur perdu,1888.0,"Stapleaux, Léopold",person,1831.0,1891.0,J. Ducher,Paris,monographie,1 vol. (309 p.) ; in-18,Contient une table des matières,printed monograph,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-42677",fre,Scandales mondains. L'honneur perdu / par Léopold Stapleaux,"Stapleaux, Léopold (1831-1891). Auteur du texte",1888,J. Ducher (Paris),95.0,[33],['Description'],1,0.0021650176448938,Paris / Île de France
bpt6k689238,Contes de la vie intime,1888.0,"Theuriet, André",person,1833.0,1907.0,N. Martinet,Paris,monographie,1 vol. (215 p.) ; in-8,Contient une table des matières,printed monograph,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-41850",fre,Contes de la vie intime / André Theuriet,"Theuriet, André (1833-1907). Auteur du texte",1888,N. Martinet (Paris),93.0,[17],['Faune et Flore'],1,0.0031701749936596,Paris / Île de France
